x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
28.0,100.0,200.0,20.0,10.0,100.0,0.75,1000.0,4000.0,4.0,3.5,505.12186504000005,4.569856726654961,7.4748012455266295,0.0
28.0,100.0,200.0,20.0,10.0,500.0,0.75,1000.0,4000.0,4.0,3.5,484.3218650400001,12.709000780277655,7.474099245526631,0.0
28.0,500.0,200.0,20.0,10.0,100.0,0.75,1000.0,4000.0,4.0,3.5,609.1218650400001,14.994501151783654,12.773136763406292,0.0
28.0,500.0,200.0,20.0,10.0,500.0,0.75,1000.0,4000.0,4.0,3.5,505.12186504000005,47.95144038841949,12.769626763406292,0.0
28.0,1000.0,200.0,20.0,10.0,100.0,0.75,1000.0,4000.0,4.0,3.5,739.1218650400001,27.20687571323976,16.09218796008137,0.0
28.0,1000.0,200.0,20.0,10.0,500.0,0.75,1000.0,4000.0,4.0,3.5,531.1218650400001,83.28034172628226,16.08516796008137,0.0
35.0,100.0,200.0,20.0,10.0,100.0,0.75,1000.0,4000.0,4.0,3.5,624.9023313,5.030971651040709,7.79541385061032,0.0
35.0,100.0,200.0,20.0,10.0,500.0,0.75,1000.0,4000.0,4.0,3.5,604.1023313,13.519123009879689,7.7947118506103195,0.0
35.0,500.0,200.0,20.0,10.0,100.0,0.75,1000.0,4000.0,4.0,3.5,728.9023313,15.567197227478399,13.31850646411574,0.0
35.0,500.0,200.0,20.0,10.0,500.0,0.75,1000.0,4000.0,4.0,3.5,624.9023313,49.54184219149902,13.31499646411574,0.0
35.0,1000.0,200.0,20.0,10.0,100.0,0.75,1000.0,4000.0,4.0,3.5,858.9023313,28.01436802387338,16.778259971551606,0.0
35.0,1000.0,200.0,20.0,10.0,500.0,0.75,1000.0,4000.0,4.0,3.5,650.9023313,88.31331025095476,16.77123997155161,0.0
45.0,100.0,200.0,20.0,10.0,100.0,0.75,1000.0,4000.0,4.0,3.5,796.0172831,5.68986778663793,8.178248646361968,0.0
45.0,100.0,200.0,20.0,10.0,500.0,0.75,1000.0,4000.0,4.0,3.5,775.2172831,14.663665788769537,8.17754664636197,0.0
45.0,500.0,200.0,20.0,10.0,100.0,0.75,1000.0,4000.0,4.0,3.5,900.0172831,16.323885683570204,13.969044553280503,0.0
45.0,500.0,200.0,20.0,10.0,500.0,0.75,1000.0,4000.0,4.0,3.5,796.0172831,51.342928121208345,13.965534553280502,0.0
45.0,1000.0,200.0,20.0,10.0,100.0,0.75,1000.0,4000.0,4.0,3.5,1030.0172831,29.01733818309583,17.596385526093716,0.0
45.0,1000.0,200.0,20.0,10.0,500.0,0.75,1000.0,4000.0,4.0,3.5,822.0172831,92.56401805468718,17.589365526093715,0.0
56.0,100.0,200.0,20.0,10.0,100.0,0.75,1000.0,4000.0,4.0,3.5,984.2437300800001,6.4092004963210805,8.531873749038834,0.0
56.0,100.0,200.0,20.0,10.0,500.0,0.75,1000.0,4000.0,4.0,3.5,963.4437300800001,15.946472495269541,8.531171749038831,0.0
56.0,500.0,200.0,20.0,10.0,100.0,0.75,1000.0,4000.0,4.0,3.5,1088.2437300800002,17.13346051891419,14.569224749565418,0.0
56.0,500.0,200.0,20.0,10.0,500.0,0.75,1000.0,4000.0,4.0,3.5,984.2437300800001,53.03550811738719,14.56571474956542,0.0
56.0,1000.0,200.0,20.0,10.0,100.0,0.75,1000.0,4000.0,4.0,3.5,1218.2437300800002,29.989002303567307,18.350914003592678,0.0
56.0,1000.0,200.0,20.0,10.0,500.0,0.75,1000.0,4000.0,4.0,3.5,1010.2437300800001,95.90288077683898,18.343894003592677,0.0
